"Test","Threshold","Mean","SD"
"Factor A","0.01",0.047,0.211744742168103
"Factor A","0.05",0.047,0.211744742168103
"Factor A","0.10",0.047,0.211744742168103
"Factor B","0.01",0.0500000000000001,0.218054001448144
"Factor B","0.05",0.0500000000000001,0.218054001448144
"Factor B","0.10",0.0500000000000001,0.218054001448144
"Interaction AB","0.01",0.062,0.241276219744539
"Interaction AB","0.05",0.125,0.330884397463048
"Interaction AB","0.10",0.125,0.330884397463048
