"Test","Threshold","Mean","SE"
"Factor A","0.01",0.00990999999999995,0.000313239365643761
"Factor A","0.05",0.0503799999999991,0.000691681530933426
"Factor A","0.10",0.0993999999999988,0.000946152922129507
"Factor B","0.01",0.0100500000000003,0.00031542189193117
"Factor B","0.05",0.0509700000000002,0.000695503722675211
"Factor B","0.10",0.10089,0.000952429078835789
"Interaction AB","0.01",0.0100200000000003,0.00031495553332172
"Interaction AB","0.05",0.0498700000000005,0.000688356426094425
"Interaction AB","0.10",0.0991999999999992,0.000945305525227796
